"app_name","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","android_lifespan","apple_lifespan","revenue","initial_cost","recurring_cost","profit"
"PewDiePie's Tuber Simulator","5.0","4.8","0.00","0","Games","Casual","132.0","132.0","660000.0","20000","132000.0","$508,000.00"
"ASOS","5.0","4.7","0.00","0","Shopping","Shopping","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"Domino's Pizza USA","5.0","4.7","0.00","0","Food & Drink","Food & Drink","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"Fernanfloo","4.5","4.8","0.00","0","Games","Arcade","132.0","120.0","630000.0","20000","132000.0","$478,000.00"
"Domino's Pizza USA","5.0","4.7","0.00","0","Food & Drink","Food & Drink","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"Geometry Dash Lite","5.0","4.5","0.00","0","Games","Arcade","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"The Guardian","5.0","4.7","0.00","0","News","News & Magazines","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"ASOS","5.0","4.7","0.00","0","Shopping","Shopping","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"Egg, Inc.","5.0","4.7","0.00","0","Games","Simulation","120.0","132.0","630000.0","20000","132000.0","$478,000.00"
"Cytus","5.0","4.7","1.99","0","Games","Music","120.0","132.0","630000.0","29900.00","132000.0","$468,100.00"
"Angry Birds Epic RPG","4.5","4.5","0.00","0","Games","Role Playing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"WhatsApp Messenger","4.5","4.4","0.00","0","Social Networking","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"GMX Mail","4.5","4.3","0.00","0","Productivity","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"WhatsApp Messenger","4.5","4.4","0.00","0","Social Networking","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"GroupMe","4.5","4.5","0.00","0","Social Networking","Communication","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ClassDojo","4.5","4.4","0.00","0","Education","Education;Education","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ClassDojo","4.5","4.4","0.00","0","Education","Education;Education","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"YouTube Kids","4.5","4.5","0.00","0","Entertainment","Entertainment;Music & Video","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Regal Cinemas","4.5","4.3","0.00","0","Entertainment","Entertainment","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"The CW","4.5","4.4","0.00","0","Entertainment","Entertainment","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"The CW","4.5","4.4","0.00","0","Entertainment","Entertainment","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"The CW","4.5","4.4","0.00","0","Entertainment","Entertainment","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Chase Mobile","4.5","4.6","0.00","0","Finance","Finance","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Starbucks","4.5","4.5","0.00","0","Food & Drink","Food & Drink","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"DoorDash - Food Delivery","4.5","4.5","0.00","0","Food & Drink","Food & Drink","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Seven - 7 Minute Workout Training Challenge","4.5","4.5","0.00","0","Health & Fitness","Health & Fitness","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Seven - 7 Minute Workout Training Challenge","4.5","4.5","0.00","0","Health & Fitness","Health & Fitness","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Subway Surfers","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Solitaire","4.5","4.7","0.00","0","Games","Card","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash Royale","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run 2","4.5","4.3","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pou","4.5","4.3","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Rio","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Sonic Dash","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Soda Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash of Clans","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Flow Free","4.5","4.3","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Fishdom","4.5","4.6","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Tsunami","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing","4.5","4.4","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Catchers","4.5","4.7","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Farm Heroes Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Geometry Dash World","4.5","4.6","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Talking Angela","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Subway Surfers","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Pou","4.5","4.3","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash of Clans","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Cooking Fever","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Score! Hero","4.5","4.6","0.00","0","Games","Sports","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Talking Angela","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Toy Blast","4.5","4.7","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Soda Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Fishdom","4.5","4.6","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Clash Royale","4.5","4.6","0.00","0","Games","Strategy","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"My Talking Tom","4.5","4.5","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Angry Birds Rio","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Catchers","4.5","4.7","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run 2","4.5","4.3","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Zombie Tsunami","4.5","4.4","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Farm Heroes Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Traffic Racer","4.5","4.5","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hill Climb Racing 2","4.5","4.6","0.00","0","Games","Racing","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Flow Free","4.5","4.3","0.00","0","Games","Puzzle","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Subway Surfers","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Hungry Shark Evolution","4.5","4.5","0.00","0","Games","Arcade","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Temple Run 2","4.5","4.3","0.00","0","Games","Action","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Trivia Crack","4.5","4.5","0.00","0","Games","Trivia","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Episode - Choose Your Story","4.5","4.3","0.00","0","Games","Simulation","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"ROBLOX","4.5","4.5","0.00","0","Games","Adventure;Action & Adventure","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Candy Crush Saga","4.5","4.4","0.00","0","Games","Casual","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
"Fallout Shelter","4.5","4.6","0.00","0","Games","Simulation","120.0","120.0","600000.0","20000","120000.0","$460,000.00"
