"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit","apple_genre","android_genre"
"The Guardian","240337",252,"$630,000.00","$132,000.00","$10,000.00","$10,000.00","$478,000.00","News","News & Magazines"
"ASOS","173085",252,"$630,000.00","$132,000.00","$10,000.00","$10,000.00","$478,000.00","Shopping","Shopping"
"Adobe Illustrator Draw","62850",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Productivity","Photography"
"Afterlight","42920",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Photo & Video","Photography"
"Angry Birds Blast","232689",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Puzzle"
"Animal Jam - Play Wild!","338491",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Casual;Pretend Play"
"Army of Heroes","83815",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Strategy"
"Bejeweled Classic","193689",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Casual"
"ClassDojo","126761",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Education","Education;Education"
"Discord - Chat for Gamers","296727",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Social Networking","Communication"
"Disney Crossy Road","480900",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Arcade;Action & Adventure"
"DoorDash - Food Delivery","88878",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Food & Drink","Food & Drink"
"Dude Perfect","9667",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Sports"
"Dude Perfect 2","377028",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Action"
"Fuel Rewards® program","30475",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Shopping","Lifestyle"
"Gear.Club - True Racing","137973",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Racing"
"GMX Mail","258454",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Productivity","Communication"
"Google Sheets","474120",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Productivity","Productivity"
"GroupMe","306949",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Social Networking","Communication"
"Hitman Sniper","400182",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Action"
"Microsoft OneNote","447041",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Productivity","Productivity"
"Narcos: Cartel Wars","240468",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Strategy"
"Nyan Cat: Lost In Space","320995",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Arcade"
"OK K.O.! Lakewood Plaza Turbo","76182",240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00","Games","Action;Action & Adventure"
