"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"ASOS",5.0,4.7,0.00,0,"Shopping","Shopping","4+","Everyone",173085,252,"$630,000.00","$132,000.00","$10,000.00","$10,000.00","$478,000.00"
"ASOS",5.0,4.7,0.00,0,"Shopping","Shopping","4+","Everyone",173060,252,"$630,000.00","$132,000.00","$10,000.00","$10,000.00","$478,000.00"
"The Guardian",5.0,4.7,0.00,0,"News","News & Magazines","12+","Teen",240337,252,"$630,000.00","$132,000.00","$10,000.00","$10,000.00","$478,000.00"
"ClassDojo",4.5,4.4,0.00,0,"Education","Education;Education","4+","Everyone",126749,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Animal Jam - Play Wild!",4.5,4.6,0.00,0,"Games","Casual;Pretend Play","9+","Everyone",338491,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Adobe Illustrator Draw",4.5,4.4,0.00,0,"Productivity","Photography","4+","Everyone",62850,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Afterlight",4.5,4.3,0.99,0,"Photo & Video","Photography","4+","Everyone",42920,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"YouTube Kids",4.5,4.5,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone",444564,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Discord - Chat for Gamers",4.5,4.5,0.00,0,"Social Networking","Communication","4+","Teen",296727,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Hitman Sniper",4.5,4.6,0.99,0.99,"Games","Action","17+","Mature 17+",400182,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Angry Birds Blast",4.5,4.6,0.00,0,"Games","Puzzle","4+","Everyone",232689,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"ClassDojo",4.5,4.4,0.00,0,"Education","Education;Education","4+","Everyone",126762,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"ClassDojo",4.5,4.4,0.00,0,"Education","Education;Education","4+","Everyone",126761,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"YouTube Kids",4.5,4.5,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone",444800,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Regal Cinemas",4.5,4.3,0.00,0,"Entertainment","Entertainment","4+","Everyone",27118,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"GroupMe",4.5,4.5,0.00,0,"Social Networking","Communication","4+","Everyone",306949,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"The CW",4.5,4.4,0.00,0,"Entertainment","Entertainment","12+","Teen",239965,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"The CW",4.5,4.4,0.00,0,"Entertainment","Entertainment","12+","Teen",239965,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Narcos: Cartel Wars",4.5,4.7,0.00,0,"Games","Strategy","12+","Teen",240468,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Fuel Rewards® program",4.5,4.6,0.00,0,"Shopping","Lifestyle","4+","Everyone",30475,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"The CW",4.5,4.4,0.00,0,"Entertainment","Entertainment","12+","Teen",239965,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Pineapple Pen",4.5,4.3,0.00,0,"Games","Arcade","4+","Everyone",151339,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Gear.Club - True Racing",4.5,4.4,0.00,0,"Games","Racing","4+","Everyone",137973,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Bejeweled Classic",4.5,4.4,0.00,0,"Games","Casual","4+","Everyone",193689,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Plants vs. Zombies™ 2",4.5,4.4,0.00,0,"Games","Casual","9+","Everyone 10+",471489,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Real Racing 3",4.5,4.5,0.00,0,"Games","Racing;Action & Adventure","4+","Everyone",294240,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Starbucks",4.5,4.5,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",394736,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"DoorDash - Food Delivery",4.5,4.5,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",88878,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Seven - 7 Minute Workout Training Challenge",4.5,4.5,0.00,0,"Health & Fitness","Health & Fitness","4+","Everyone",69888,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Star Chart",4.5,4.3,0.00,0,"Education","Education;Education","4+","Everyone",117880,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Seven - 7 Minute Workout Training Challenge",4.5,4.5,0.00,0,"Health & Fitness","Health & Fitness","4+","Everyone",69888,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Dude Perfect 2",4.5,4.5,0.00,0,"Games","Action","4+","Everyone",376807,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"YouTube Kids",4.5,4.5,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone",445401,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Plants vs. Zombies™ Heroes",4.5,4.4,0.00,0,"Games","Casual;Action & Adventure","9+","Everyone",364453,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"PAC-MAN Pop",4.5,4.3,0.00,0,"Games","Puzzle;Action & Adventure","4+","Everyone",23954,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Disney Crossy Road",4.5,4.5,0.00,0,"Games","Arcade;Action & Adventure","4+","Everyone",480900,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
